Combined_ID,Year,How.happy.do.you.feel.right.now.,How.satisfied.are.you.with.your.life.in.general.,How.satisfied.are.you.with.Somerville.as.a.place.to.live.,In.general..how.similar.are.you.to.other.people.you.know._2011,When.making.decisions..are.you.more.likely.to.seek.advice.or.decide.for.yourself._2011.,How.satisfied.are.you.with.your.neighborhood.,How.proud.are.you.to.be.a.Somerville.resident._2015,How.would.you.rate.the.following..The.availability.of.information.about.city.services._2015,The.availability.of.affordable.housing_2011,How.would.you.rate.the.following..The.cost.of.housing.,How.would.you.rate.the.following..The.overall.quality.of.public.schools.in.your.community._2011,How.would.you.rate.the.following..The.overall.quality.of.public.schools.,How.would.you.rate.the.following..The.beauty.or.physical.setting_2011,How.would.you.rate.the.following..The.beauty.or.physical.setting.of.Somerville_2013,How.would.you.rate.the.following..The.effectiveness.of.the.local.police_2011_2013,How.would.you.rate.the.following..Your.trust.in.the.local.police_2015,How.would.you.rate.the.following..The.maintenance.of.streets..sidewalks..and..squares_2013,How.would.you.rate.the.following..The.maintenance.of.streets.and.sidewalks_2015,How.would.you.rate.the.following..The.availability.of.social.community.events,How.safe.do.you.feel.walking.in.your.neighborhood.at.night_2013,How.safe.do.you.feel.walking.in.your.community.at.night._2015,How.satisfied.are.you.with.the.beauty.or.physical.setting.of.your.neighborhood.,How.satisfied.are.you.with.the.appearance.of.parks.in.your.neighborhood._2013,How.satisfied.are.you.with.the.appearance.of.parks.and.squares.in.your.neighborhood.,What.is.your.sex.,What.is.your.gender._2011,Age.,Marital.status._2011,What.language..other.than.English..do.you.speak.at.home._2015,What.is.your.race_2011_2013,Are.you.of.Hispanic..Latino..or.Spanish.origin._2013,What.is.your.race.or.ethnicity._2015,Do.you.have.children.age.18.or.younger.who.live.with.you.,Describe.your.housing.status.in.Somerville.,Do.you.plan.to.move.away.from.Somerville.in.the.next.two.years.,How.long.have.you.lived.here.,What.is.your.annual.household.income.,What.neighborhood.do.you.live.in.,Are.you.a.student.,Ward,Precinct
5046,2011,8,8,9,4,2,NA,NA,NA,2,NA,3,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"90,000 - $99,999",NA,NA,NA,NA
5047,2011,9,9,9,8,7,NA,NA,NA,3,NA,3,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
5048,2011,8,7,10,6,4,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,R,NA,NA,NA,NA,NA,12-17 Years,R,NA,NA,NA,NA
5049,2011,8,8,9,7,8,NA,NA,NA,4,NA,3,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"20,000 - $29,999",NA,NA,NA,NA
5050,2011,8,9,8,6,7,NA,NA,NA,4,NA,R,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"60,000 - $69,999",NA,NA,NA,NA
5051,2011,9,9,R,9,5,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,R,NA,NA,NA,NA,NA,R,R,NA,NA,NA,NA
5052,2011,9,9,8,7,8,NA,NA,NA,1,NA,4,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"60,000 - $69,999",NA,NA,NA,NA
5053,2011,5,5,2,2,10,NA,NA,NA,2,NA,4,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
5054,2011,7,7,8,7,7,NA,NA,NA,1,NA,4,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"40,000 - $49,999",NA,NA,NA,NA
5055,2011,8,8,6,5,5,NA,NA,NA,3,NA,3,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"20,000 - $29,999",NA,NA,NA,NA
5056,2011,8,9,8,6,8,NA,NA,NA,3,NA,4,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
5057,2011,8,7,8,8,5,NA,NA,NA,R,NA,R,NA,3,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"20,000 - $29,999",NA,NA,NA,NA
5058,2011,7,8,8,6,3,NA,NA,NA,2,NA,3,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
5059,2011,7,7,4,1,10,NA,NA,NA,1,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
5060,2011,10,10,7,10,7,NA,NA,NA,3,NA,2,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"100,000 and up",NA,NA,NA,NA
5061,2011,9,9,9,6,6,NA,NA,NA,4,NA,R,NA,3,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
5062,2011,9,9,9,8,3,NA,NA,NA,3,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"70,000 - $79,999",NA,NA,NA,NA
5063,2011,7,8,9,8,10,NA,NA,NA,3,NA,4,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Widowed,NA,Native American,NA,NA,NA,NA,NA,6-11 Years,"Less than $10,000",NA,NA,NA,NA
5064,2011,8,8,9,6,7,NA,NA,NA,2,NA,3,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,61+,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"50,000 - $59,999",NA,NA,NA,NA
5065,2011,4,8,6,6,8,NA,NA,NA,R,NA,5,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"70,000 - $79,999",NA,NA,NA,NA
5066,2011,10,10,8,8,6,NA,NA,NA,2,NA,2,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
5090,2011,8,8,7,7,6,NA,NA,NA,3,NA,2,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,51-60,Married,NA,"White, Hispanic Origin",NA,NA,NA,NA,NA,18+,"100,000 and up",NA,NA,NA,NA
5067,2011,10,10,10,10,10,NA,NA,NA,R,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"50,000 - $59,999",NA,NA,NA,NA
5068,2011,4,2,8,8,3,NA,NA,NA,2,NA,3,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"40,000 - $49,999",NA,NA,NA,NA
5069,2011,5,9,7,6,8,NA,NA,NA,3,NA,2,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
5070,2011,9,10,10,10,9,NA,NA,NA,3,NA,3,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,Widowed,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"20,000 - $29,999",NA,NA,NA,NA
5071,2011,8,8,8,7,2,NA,NA,NA,3,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"20,000 - $29,999",NA,NA,NA,NA
5072,2011,4,4,8,6,5,NA,NA,NA,2,NA,3,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,R,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"20,000 - $29,999",NA,NA,NA,NA
5073,2011,6,7,5,6,7,NA,NA,NA,2,NA,R,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"70,000 - $79,999",NA,NA,NA,NA
5074,2011,7,7,6,7,2,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,61+,Widowed,NA,African-American,NA,NA,NA,NA,NA,18+,"10,000 - $19,999",NA,NA,NA,NA
5075,2011,6,5,3,6,4,NA,NA,NA,2,NA,2,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"30,000 - $39,999",NA,NA,NA,NA
5076,2011,9,9,7,8,6,NA,NA,NA,4,NA,R,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
5077,2011,8,8,7,6,7,NA,NA,NA,3,NA,3,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Married,NA,African-American,NA,NA,NA,NA,NA,18+,"100,000 and up",NA,NA,NA,NA
5078,2011,8,6,10,7,6,NA,NA,NA,3,NA,3,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
5079,2011,6,6,R,6,10,NA,NA,NA,2,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"90,000 - $99,999",NA,NA,NA,NA
5080,2011,8,8,6,7,5,NA,NA,NA,2,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"50,000 - $59,999",NA,NA,NA,NA
5081,2011,10,10,R,10,8,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Widowed,NA,African-American,NA,NA,NA,NA,NA,18+,"Less than $10,000",NA,NA,NA,NA
5082,2011,10,10,R,10,8,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Widowed,NA,African-American,NA,NA,NA,NA,NA,18+,"Less than $10,000",NA,NA,NA,NA
5083,2011,3,4,7,5,8,NA,NA,NA,2,NA,4,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"10,000 - $19,999",NA,NA,NA,NA
5084,2011,9,9,9,9,8,NA,NA,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"10,000 - $19,999",NA,NA,NA,NA
5085,2011,8,8,8,8,8,NA,NA,NA,R,NA,2,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,Married,NA,Asian/Pacific Islander,NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
5086,2011,7,6,7,5,8,NA,NA,NA,2,NA,4,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"20,000 - $29,999",NA,NA,NA,NA
5087,2011,6,8,8,6,9,NA,NA,NA,R,NA,4,NA,5,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"40,000 - $49,999",NA,NA,NA,NA
5088,2011,8,9,7,8,1,NA,NA,NA,1,NA,3,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"50,000 - $59,999",NA,NA,NA,NA
5091,2011,8,9,8,9,3,NA,NA,NA,4,NA,3,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"90,000 - $99,999",NA,NA,NA,NA
5092,2011,10,8,5,10,8,NA,NA,NA,1,NA,4,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,African-American,NA,NA,NA,NA,NA,0-5 Years,"20,000 - $29,999",NA,NA,NA,NA
5093,2011,3,5,4,9,3,NA,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
5094,2011,5,8,5,R,8,NA,NA,NA,3,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"Less than $10,000",NA,NA,NA,NA
5095,2011,4,10,4,5,3,NA,NA,NA,3,NA,4,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Married,NA,Asian/Pacific Islander,NA,NA,NA,NA,NA,12-17 Years,"60,000 - $69,999",NA,NA,NA,NA
5096,2011,7,7,6,7,8,NA,NA,NA,4,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Widowed,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"50,000 - $59,999",NA,NA,NA,NA
5097,2011,9,9,7,9,9,NA,NA,NA,2,NA,4,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,R,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,R,"20,000 - $29,999",NA,NA,NA,NA
5098,2011,8,8,8,8,4,NA,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,R,"30,000 - $39,999",NA,NA,NA,NA
5099,2011,6,10,10,10,10,NA,NA,NA,1,NA,5,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,61+,Widowed,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"10,000 - $19,999",NA,NA,NA,NA
5100,2011,8,9,7,8,6,NA,NA,NA,1,NA,R,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"30,000 - $39,999",NA,NA,NA,NA
5101,2011,6,8,7,5,6,NA,NA,NA,3,NA,4,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,R,NA,NA,NA,NA
5102,2011,9,9,9,6,2,NA,NA,NA,3,NA,R,NA,3,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"90,000 - $99,999",NA,NA,NA,NA
5103,2011,9,10,9,8,9,NA,NA,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,18-21,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"10,000 - $19,999",NA,NA,NA,NA
5104,2011,5,5,3,5,3,NA,NA,NA,1,NA,3,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"100,000 and up",NA,NA,NA,NA
5105,2011,9,9,7,9,3,NA,NA,NA,3,NA,3,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"100,000 and up",NA,NA,NA,NA
5106,2011,8,9,8,7,8,NA,NA,NA,3,NA,2,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"70,000 - $79,999",NA,NA,NA,NA
5107,2011,9,3,9,3,2,NA,NA,NA,R,NA,R,NA,R,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,R,NA,NA,NA,NA,NA,R,"100,000 and up",NA,NA,NA,NA
5108,2011,9,9,8,8,8,NA,NA,NA,3,NA,2,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"100,000 and up",NA,NA,NA,NA
5109,2011,9,9,10,8,8,NA,NA,NA,R,NA,R,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"50,000 - $59,999",NA,NA,NA,NA
5110,2011,5,6,6,4,9,NA,NA,NA,2,NA,2,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"100,000 and up",NA,NA,NA,NA
5111,2011,9,8,7,8,10,NA,NA,NA,2,NA,R,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"70,000 - $79,999",NA,NA,NA,NA
5112,2011,6,8,7,7,4,NA,NA,NA,4,NA,3,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
5113,2011,5,6,9,4,8,NA,NA,NA,5,NA,3,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,Married,NA,R,NA,NA,NA,NA,NA,18+,"100,000 and up",NA,NA,NA,NA
5114,2011,4,3,8,2,1,NA,NA,NA,2,NA,R,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, Hispanic Origin",NA,NA,NA,NA,NA,0-5 Years,"90,000 - $99,999",NA,NA,NA,NA
5115,2011,7,8,6,7,6,NA,NA,NA,3,NA,4,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
5116,2011,5,8,4,4,6,NA,NA,NA,1,NA,R,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"30,000 - $39,999",NA,NA,NA,NA
5117,2011,7,7,5,9,8,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,Asian/Pacific Islander,NA,NA,NA,NA,NA,12-17 Years,"30,000 - $39,999",NA,NA,NA,NA
5118,2011,7,5,4,2,8,NA,NA,NA,3,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"100,000 and up",NA,NA,NA,NA
5119,2011,7,7,8,6,6,NA,NA,NA,4,NA,R,NA,3,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"60,000 - $69,999",NA,NA,NA,NA
5120,2011,8,8,8,8,6,NA,NA,NA,4,NA,3,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
5121,2011,9,9,8,7,5,NA,NA,NA,2,NA,R,NA,5,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"20,000 - $29,999",NA,NA,NA,NA
5122,2011,10,9,8,8,10,NA,NA,NA,3,NA,4,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,Hispanic,NA,NA,NA,NA,NA,18+,"50,000 - $59,999",NA,NA,NA,NA
5123,2011,10,10,5,2,1,NA,NA,NA,1,NA,4,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
5124,2011,7,7,9,9,3,NA,NA,NA,3,NA,3,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
5125,2011,10,8,10,9,2,NA,NA,NA,1,NA,5,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
5126,2011,R,8,9,10,2,NA,NA,NA,4,NA,3,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Widowed,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"10,000 - $19,999",NA,NA,NA,NA
5127,2011,2,3,1,5,2,NA,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Widowed,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"50,000 - $59,999",NA,NA,NA,NA
5128,2011,5,5,5,5,5,NA,NA,NA,3,NA,2,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
5129,2011,6,7,7,8,8,NA,NA,NA,3,NA,3,NA,3,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"90,000 - $99,999",NA,NA,NA,NA
5130,2011,8,9,9,9,9,NA,NA,NA,5,NA,3,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
5131,2011,10,10,10,6,5,NA,NA,NA,2,NA,4,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Married,NA,Asian/Pacific Islander,NA,NA,NA,NA,NA,18+,"70,000 - $79,999",NA,NA,NA,NA
5132,2011,9,9,8,8,8,NA,NA,NA,2,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"50,000 - $59,999",NA,NA,NA,NA
5133,2011,8,8,7,7,8,NA,NA,NA,3,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"90,000 - $99,999",NA,NA,NA,NA
5134,2011,8,8,7,9,10,NA,NA,NA,3,NA,3,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"90,000 - $99,999",NA,NA,NA,NA
5135,2011,1,1,6,10,10,NA,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"50,000 - $59,999",NA,NA,NA,NA
5136,2011,6,6,8,6,7,NA,NA,NA,3,NA,3,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,R,NA,NA,NA,NA,NA,18+,"50,000 - $59,999",NA,NA,NA,NA
5137,2011,7,7,8,3,R,NA,NA,NA,R,NA,R,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Divorced,NA,R,NA,NA,NA,NA,NA,12-17 Years,R,NA,NA,NA,NA
5138,2011,8,9,8,6,6,NA,NA,NA,2,NA,2,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"90,000 - $99,999",NA,NA,NA,NA
